"","Date","Year","Country","Location","Fatal (Y/N)","lon","lat"
"40","23-Apr-2016",2016,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"41","13-Apr-2016",2016,"USA","Off Singer Island, Palm Beach County","N",-80.0375408,26.7850625
"42","07-Apr-2016",2016,"USA","Florida Keys, Florida, Monroe County","N",-99.7973918,36.0095232
"43","07-Apr-2016",2016,"USA","Corners Beach, Jupiter, Palm Beach County","N",-80.1125957,26.7077343
"44","31-Mar-2016",2016,"USA","Olowalu, Maui","N",-156.625,20.8147221
"45","28-Mar-2016",2016,"USA","Fort Myers Beach, Lee County","N",-81.948145,26.4520248
"46","13-Mar-2016",2016,"USA","Bolsa Chica State Park, Orange County","N",-118.0487973,33.6955698
"47","11-Mar-2016",2016,"USA","Vero Beach, St. Lucie County","N",-80.3143223,27.4606361
"48","04-Mar-2016",2016,"USA","Ocean Reef Park, Singer Island, Palm Beach County","N",-80.0328831,26.7937693
"49","28-Jan-2016",2016,"USA","Hanalei Bay, Kauai","N",-159.5067583,22.2090776
"50","25-Jan-2016",2016,"USA","Hanalei Bay, Kauai, ","N",-159.5067583,22.2090776
"51","24-Jan-2016",2016,"USA","Off Surfside","N",-117.25745,32.975655
"52","42392",2016,"USA","Wailea Beach, Maui","N",-156.443335,20.68744
"53","22-Dec-2015",2015,"USA","La'aloa Beach Park","N",-155.9653439,19.5941734
"54","16-Nov-2015",2015,"USA","Playalinda Beach, Brevard County","N",-80.6318287,28.6555177
"55","15-Nov-2015",2015,"USA","Palm Beach, Palm Beach County","N",-80.2767327,26.6514503
"56","15-Nov-2015",2015,"USA","Ocean Reef Park, Singer Island, Palm Beach County","N",-80.0328831,26.7937693
"57","07-Nov-2015",2015,"USA","Paradise Beach, Melbourne, Brevard County","N",-80.5759862,28.1226018
"58","03-Nov-2015",2015,"USA","Kehena Beach, Hawaii","N",-154.9291529,19.3946242
"59","01-Nov-2015",2015,"USA","Cocoa Beach, Brevard  County","N",-80.6075513,28.3200067
"60","28-Oct-2015",2015,"USA","oahu, hawaii","N",-158.0000565,21.4389123
"61","21-Oct-2015",2015,"USA","Playalinda Beach, Brevard County","N",-80.6318287,28.6555177
"62","19-Oct-2015",2015,"USA","Deerfield Beach, Broward County","N",-80.0997657,26.3184123
"63","17-Oct-2015",2015,"USA","Waikiki, ","N",-157.835698,21.285002
"64","17-Oct-2015",2015,"USA","Lanikai Beach, Kailua, Oahu","N",-157.7154355,21.3930921
"65","13-Oct-2015",2015,"USA","Off Leffingwell Landing, San Luis Obispo County","N",-121.1214197,35.5838507
"66","09-Oct-2015",2015,"USA","Shipyard Beach Club, Hilton Head Island, Beaufort County","N",-80.745626,32.156871
"67","09-Oct-2015",2015,"USA","Leftovers, Oahu","N",-158.073538,21.628128
"68","05-Oct-2015",2015,"USA","Pepper Park Beach, St. Lucie County","N",-80.3016525,27.498763
"69","05-Oct-2015",2015,"USA","Galveston","N",-94.7976958,29.3013479
"70","04-Oct-2015",2015,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"71","29-Sep-2015",2015,"USA","Vilano Beach, St.  Johns County","N",-81.3020173,29.9385794
"72","24-Sep-2015",2015,"USA","Horseshoe Rock, Santa Barbara County","N",NA,NA
"73","20-Sep-2015",2015,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"74","20-Sep-2015",2015,"USA","Upolu Point, North Kohala, Big Island","N",-155.8545221,20.2689664
"75","20-Sep-2015",2015,"USA","Fernandina Beach, Amelia Island, Nassau County","N",-81.4625919,30.6696818
"76","20-Sep-2015",2015,"USA","Vilano Beach, St.  Johns County","N",-81.3020173,29.9385794
"77","18-Sep-2015",2015,"USA","Big Talbot Island, Duval County","N",-81.44,30.4830556
"78","17-Sep-2015",2015,"USA","Jacksonville Beach, Duval County","N",-81.3961338,30.2841224
"79","06-Sep-2015",2015,"USA","El Pescador Beach, Los Angeles County","N",-118.8921386,34.0403608
"80","05-Sep-2015",2015,"USA","Deer Creek Beach, Ventura County","N",-118.9910772,34.0761836
"81","03-Sep-2015",2015,"USA","Myrtle Beach, Horry County","N",-78.8866943,33.6890603
"82","29-Aug-2015",2015,"USA","Morro Strand State Beach, San Luis Obispo County","N",-120.8664024,35.3918466
"83","29-Aug-2015",2015,"USA","Morro Bay, San Luis Obispo County","N",-120.8499924,35.3659445
"84","22-Aug-2015",2015,"USA","Cocoa Beach, Brevard  County","N",-80.6075513,28.3200067
"85","20-Aug-2015",2015,"USA","Murrells Inlet, Georgetown County","N",-79.0414261,33.5510021
"86","19-Aug-2015",2015,"USA","Jacksonville Beach, Duval County","N",-81.3961338,30.2841224
"87","18-Aug-2015",2015,"USA","Santa Barbara County","N",-119.6982057,34.4208321
"88","10-Aug-2015",2015,"USA","Cortes Bank","N",-119.1666667,32.4666667
"89","26-Jul-2015",2015,"USA","Daytona Beach, Volusia County","N",-81.0228331,29.2108147
"90","26-Jul-2015",2015,"USA","Edisto Beach, Colleton County","N",-80.3348229,32.4793551
"91","23-Jul-2015",2015,"USA","La Jolla, San Diego County","N",-117.2712717,32.8328112
"92","10-Jul-2015",2015,"USA","Huntington Beach, Orange County","N",-117.9988026,33.6594835
"93","08-Jul-2015",2015,"USA","Huntington Beach, Orange County","N",-117.9988026,33.6594835
"94","04-Jul-2015",2015,"USA","Off Surf City, Pender County","N",-77.562249,34.449088
"95","01-Jul-2015",2015,"USA","Ocracoke, Lifeguard Beach, National Park Service, Hyde County","N",NA,NA
"96","30-Jun-2015",2015,"USA","Isle of Palms County Park, Isle of Palms, Charleston County","N",-79.785866,32.786886
"97","27-Jun-2015",2015,"USA","Rodanthe, Dare County","N",-75.4655882,35.600383
"98","26-Jun-2015",2015,"USA","Jacksonville Beach, Duval County","N",-81.3961338,30.2841224
"99","26-Jun-2015",2015,"USA","South Beach, Hunting Island State Park, Beaufort County","N",-80.4521216,32.3585481
"100","25-Jun-2015",2015,"USA","Avon, Hatteras Island, Outer Banks, Dare County","N",-75.5108445,35.3521855
"101","24-Jun-2015",2015,"USA","Surf City","N",-77.5460805,34.4271121
"102","23-Jun-2015",2015,"USA","St. Helena Island, Beaufort County","N",-80.5549561,32.3972009
"103","17-Jun-2015",2015,"USA","Daytona Beach Shores","N",-80.9828323,29.1760933
"104","14-Jun-2015",2015,"USA","Oak Island, Brunswick County","N",-78.161106,33.9165623
"105","14-Jun-2015",2015,"USA","Oak Island, Brunswick County","N",-78.161106,33.9165623
"106","13-Jun-2015",2015,"USA","Off San Diego","N",-117.147394,32.7710407
"107","11-Jun-2015",2015,"USA","Ocean Isle, Brunswick County","N",-78.426672,33.8943393
"108","07-Jun-2015",2015,"USA","Lori Wilson Park, Cocoa Beach, Brevard  County","N",-80.6094697,28.3371371
"109","05-Jun-2015",2015,"USA","Fort Lauderdale","N",-80.1373174,26.1224386
"110","29-May-2015",2015,"USA","Cocoa Beach, Brevard  County","N",-80.6075513,28.3200067
"111","29-May-2015",2015,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"112","24-May-2015",2015,"USA","Cocoa Beach, Brevard  County","N",-80.6075513,28.3200067
"113","20-May2015",2015,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"114","15-May-2015",2015,"USA","Sullivan's Island","N",-79.8367511,32.7632323
"115","07-May-2015",2015,"USA","Cocoa Beach, Brevard  County","N",-80.6075513,28.3200067
"116","29-Apr-2015",2015,"USA","Kanahena Cove","Y",-156.437518,20.618084
"117","26-Apr-2015",2015,"USA","Resident's Beach, Marco Island","N",-81.7331861,25.9354415
"118","13-Apr-2015",2015,"USA","Florida Keys, Florida, Monroe County","N",-81.5357506,25.0273356
"119","03-Apr-2015",2015,"USA","3 miles off Jupiter, Palm Beach County","N",-80.0743038,26.8734701
"120","18-Mar-2015",2015,"USA","Hapuna Beach","N",-155.8250247,19.9913871
"121","27-Jan-2015",2015,"USA","Lahaina","N",-156.6825,20.8783333
"122","19-Jan-2015",2015,"USA","Off Panama City","N",-85.540141,30.2646379
"123","08-Jan-2015",2015,"USA","","N",NA,NA
"124","01-Jan-2015",2015,"USA","Windsor Beach, Indian River County","N",-80.4145669,27.7886508
"125","28-Dec-2014",2014,"USA","Montaña de Oro State Park, San Luis Obispo County ","N",18.49041,-22.95764
"126","16-Nov-2014",2014,"USA","Indian Harbor Beach, Brevard County","N",-80.5883855,28.1489021
"127","Reported 17-Nov-2014",2014,"USA","Franklin Point, San Mateo County","N",-122.3605292,37.1496689
"128","13-Nov-2014",2014,"USA","Airplane Beach, Lahina, West Maui","N",-156.6749418,20.8672074
"129","08-Nov-2014",2014,"USA","Fort Pierce Inlet State Park, St. Lucie County","N",-80.3016686,27.4820331
"130","31-Oct-2014",2014,"USA","North Kohala, Hawaii County","N",-155.8500639,19.6924307
"131","22-Oct-2014",2014,"USA","Kihei, Maui","N",-156.4450063,20.7644275
"132","20-Oct-2014",2014,"USA","Kahului, Maui","N",-156.4729469,20.8893351
"133","19-Oct-2014",2014,"USA","Leadbetter Beach, Santa Barbara County","N",-119.6993452,34.4023481
"134","18-Oct-2014",2014,"USA","Maalaea, South Maui","N",-156.5141667,20.7963889
"135","14-Oct-2014",2014,"USA","Hilton Head Island, Beaufort County","N",-80.752608,32.216316
"136","12-Oct-2014",2014,"USA","Melbourne Beach, Brevard County","N",-80.5603303,28.0683496
"137","07-Oct-2014",2014,"USA","Cherie Down Park, Brevard County","N",-80.5969563,28.3918352
"138","05-Oct-2014",2014,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"139","05-Oct-2014",2014,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"140","03-Oct-2014",2014,"USA","Santa Barbara County","N",-119.6982057,34.4208321
"141","03-Oct-2014",2014,"USA","Santa Barbara County","N",-119.6982057,34.4208321
"142","02-Oct-2014",2014,"USA","Walls Beach, Vandenberg AFB, Santa Barbara County","N",-120.6007178,34.7069443
"143","21-Sep-2014",2014,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"144","13-Sep-2014",2014,"USA","Manresa State Beach, Santa Cruz County","N",-121.8619877,36.9324566
"145","06-Sep-2014",2014,"USA","Katrina Cut, Dauphin Island, Mobile County","N",NA,NA
"146","03-Sep-2014",2014,"USA","Manomet Point, Plymouth, Plymouth County","N",-70.5488323,41.9221287
"147","02-Sep-2014",2014,"USA","Fletcher Beach, Hutchinson Island, Martin County","N",-80.1690813,27.2054998
"148","31-Aug-2014",2014,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"149","29-Aug-2014",2014,"USA","Ponce Inlet, Volusia County","N",-80.9369983,29.0963729
"150","29-Aug-2014",2014,"USA","Atlantic Beach, Duval County","N",-81.398696,30.3344077
"151","28-Aug-2014",2014,"USA","Assateague National Seashore","N",-75.2362382,38.0607973
"152","27-Aug-2014",2014,"USA","Figure Eight Island,  New Hanover County","N",-77.7444928,34.2693745
"153","27-Aug-2014",2014,"USA","Surfside Beach, Horry  County","N",-78.9730887,33.6060031
"154","Reported 25-Aug-2014",2014,"USA","Apalachicola Bay","N",-85.0025539,29.6718143
"155","24-Aug-2014",2014,"USA","Off Masonboro Island, New Hanover County","N",-77.8510213,34.1329044
"156","12-Aug-2014",2014,"USA","3 to 4 miles west of Indian Pass, Gulf County","N",NA,NA
"157","10-Aug-2014",2014,"USA","Hallandale Beach, Broward County","N",-80.148379,25.9812024
"158","09-Aug-2014",2014,"USA","Lori Wilson Park, Cocoa Beach, Brevard  County","N",-80.6094697,28.3371371
"159","08-Aug-2014",2014,"USA","Lake Ponchartain off Southshore Harbor, New Orleans","N",-90.0155759,30.0380591
"160","06-Aug-2014",2014,"USA","Folly Beach, Charleston County","N",-79.9403673,32.6551798
"161","05-Aug-2014",2014,"USA","Cocoa Beach, Brevard  County","N",-80.6075513,28.3200067
"162","02-Aug-2014",2014,"USA","South of Cocoa Beach, Brevard County","N",-80.6075513,28.3200067
"163","02-Aug-2014",2014,"USA","Table Beach, Brevard County","N",-80.6056434,28.2666061
"164","27-Jul-2014",2014,"USA","Sunset Beach, Brunswick County","N",-78.512231,33.880728
"165","21-Jul-2014",2014,"USA","Indialantic, Brevard County","N",-80.5656079,28.0894599
"166","16-Jul-2014",2014,"USA","Paia Bay, Maui","N",-156.3836273,20.9173855
"167","14-Jul-2014",2014,"USA","Okaloosa Island","N",-86.5977355,30.3980135
"168","12-Jul-2014",2014,"USA","Masonboro Island, New Hanover County","N",-77.8510213,34.1329044
"169","9-Jul-2014",2014,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"170","5-Jul-2014",2014,"USA","Manhattan Beach, Los Angeles County","N",-118.4109089,33.8847361
"171","5-Jul-2014",2014,"USA","Oceano Dunes State Beach, San Luis Obispo County","N",-120.6268771,35.1065206
"172","3-Jul-2014",2014,"USA","Isle of Palms, Charleston County","N",-79.7343791,32.8194131
"173","09-Jun-2014",2014,"USA","Cape Henlopen State Park, Sussex County","N",-75.1015963,38.7856582
"174","07-Jun-2014",2014,"USA","West Beach, Galveston","N",-94.9418083,29.2000762
"175","01-Jun-2014",2014,"USA","Fort Lauderdale","N",-80.1373174,26.1224386
"176","01-Jun-2014",2014,"USA","","N",NA,NA
"177","15-May-2014",2014,"USA","Juan Ponce de León Landing, Melbourne Beach, Brevard County","N",18.49041,-22.95764
"178","13-May2014",2014,"USA","Jacksonville Beach, Duval County","N",-81.3961338,30.2841224
"179","11-May-2014",2014,"USA","Tybee Island, Chatham County","N",-80.845666,32.0002152
"180","Reported 10-May-2014",2014,"USA","Bethel Shoals, Indian River County","N",NA,NA
"181","06-May-2014",2014,"USA","Coligny Beach, Hilton Head, Beaufort County","N",-80.7510645,32.1414846
"182","01-May-2014",2014,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"183","22-Apr-2014",2014,"USA","Cocoa Beach, Brevard  County","N",-80.6075513,28.3200067
"184","15-Apr-2014",2014,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"185","04-Apr-2014",2014,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"186","04-Apr-2014",2014,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"187","22-Mar-2014",2014,"USA","Delray Beach","N",-80.0728201,26.4614625
"188","21-Mar-2014",2014,"USA","Macarthur State Park","N",-80.04404,26.824641
"189","02-Mar-2014",2014,"USA","Santa Lucea Beach, South Hutchinson Island, St. Lucie County","N",-80.1710775,27.2073806
"190","11-Dec-2013",2013,"USA","Ninole Bay, Hawaii County","N",-155.6658568,19.5429151
"191","10-Dec-2013",2013,"USA","Cocoa Beach, Brevard  County","N",-80.6075513,28.3200067
"192","02-Dec-2013",2013,"USA","Between  Makena & Molokini, Maui","Y",-156.4447925,20.6316217
"193","29-Nov2013",2013,"USA","Keawekapu Beach, Kihei, Maui","N",-156.4464766,20.703966
"194","22-Nov-2013",2013,"USA","Gleneden Beach, Lincoln County","N",-124.034593,44.8814151
"195","07-Nov-2013",2013,"USA","Bay Head, Ocean County","N",-74.0543036,40.0717828
"196","07-Nov-2013",2013,"USA","Floridana Beach, Brevard County","N",-80.497996,27.9456312
"197","31-Oct-2013",2013,"USA","Kanaha Beach, Maui","N",-156.4405938,20.8996987
"198","23-Oct-2013",2013,"USA","Waiehu, Maui","N",-156.5045315,20.9297229
"199","20-Oct-2013",2013,"USA","Pila'a Beach, Kaua'i","N",-159.3637276,22.2114905
"200","19-Oct-2013",2013,"USA","Miami Beach","N",-80.1300455,25.790654
"201","06-Oct-2013",2013,"USA","Bunkers, Humboldt Bay, Eureka, Humboldt County","N",NA,NA
"202","10-Oct-2013",2013,"USA","Destin, Okaloosa County","N",-86.4957833,30.3935337
"203","29-Sep-2013",2013,"USA","Melbourne Beach, Brevard County","N",-80.5603303,28.0683496
"204","25-Sep-2013",2013,"USA","Panama City, Bay County","N",-85.6602058,30.1588129
"205","21-Sep-2013",2013,"USA","Ormond Beach, Volusia County","N",-81.0558894,29.2858129
"206","21-Sep-2013",2013,"USA","Carlin Park, Jupiter, Palm Beach County","N",-80.0691932,26.9291055
"207","14-Sep-2013",2013,"USA","Casino Beach, Pensacola, Escambia County","N",-87.1407666,30.331882
"208","12-Sep-2013",2013,"USA","New Smyrna Beach,  Volusia County","N",-80.9269984,29.0258191
"209","08-Sep-2013",2013,"USA","St. Helena Island, Beaufort County","UNKNOWN",-80.5549561,32.3972009
"210","07-Sep-2013",2013,"USA","New Smyrna Beach,  Volusia County","N",-80.9269984,29.0258191
"211","07-Sep-2013",2013,"USA","New Smyrna Beach,  Volusia County","N",-80.9269984,29.0258191
"212","02-Sep-2013",2013,"USA","Ormond Beach, Volusia County","N",-81.0558894,29.2858129
"213","01-Sep-2013",2013,"USA","Key West Aquarium","N",-81.807332,24.55907
"214","01-Sep-2013",2013,"USA","St Augustine Beach, St Johns County","N",-81.2711546,29.8439828
"215","31-Aug-2013",2013,"USA","Butterfly Beach, Montecito, Santa Barbara County","N",-119.6491956,34.4176221
"216","29-Aug-2013",2013,"USA","Catalina Channel","N",-118.4163103,33.3878856
"217","25-Aug-2013",2013,"USA","Winterhaven Park,           Ponce Inlet, Volusia County","N",-80.9415953,29.1047098
"218","18-Aug-2013",2013,"USA","Pohoiki","N",-154.8418399,19.4576939
"219","17-Aug-2013",2013,"USA","Pillar Point, Half-Moon Bay, San Mateo County","N",-122.4831582,37.5015293
"220","14-Aug-2013",2013,"USA","Makenat, Maui","Y",-156.4425,20.6544444
"221","13-Aug-2013",2013,"USA","Ka'a Point, Maui","N",-156.446773,20.898381
"222","11-Aug-2013",2013,"USA","Folly Beach","N",-79.9403673,32.6551798
"223","05-Aug-2013",2013,"USA","Sanibel Island, Lee County","N",-82.0223137,26.4489695
"224","31-Jul-2013",2013,"USA","Ulua Beach, Maui","N",-156.4436167,20.6903433
"225","30-Jul-2013",2013,"USA","Isle of Palms, Charleston County","N",-79.7343791,32.8194131
"226","29-Jul-2013",2013,"USA","White Plains Beach, Oahu","N",-158.0453427,21.3037251
"227","19-Jul-2013",2013,"USA","Gulf Shores, Baldwin County","N",-87.7008193,30.2460361
"228","Reported 17-Jul-2013",2013,"USA","Butler Beach, St Augustine,       St. Johns County","N",-81.2635843,29.7882135
"229","11-Jul-2013",2013,"USA","Holden Beach. Brunswick County","N",-78.3038892,33.9135061
"230","25-Jun-2013",2013,"USA","Pacific State , San Mateo County","N",-122.3050823,37.5349925
"231","25-Jun-2013",2013,"USA","Jacksonville, Duval County","N",-81.655651,30.3321838
"232","25-Jun-2013",2013,"USA","Kiawah Island, Charleston County","N",-80.0848166,32.6082373
"233","18-Jun-2013",2013,"USA","Kona Coast State Park","N",-156.0195894,19.785139
"234","17-Jun-2013",2013,"USA","Surfside Beach, Brazoria County","N",-95.2888257,28.9444142
"235","15-Jun-2013",2013,"USA","Atlantic Beach, Duval County","N",-81.398696,30.3344077
"236","Reported 14-Jun-2013",2013,"USA","Myrtle Beach, Horry County","N",-78.8866943,33.6890603
"237","06-Jun-2013",2013,"USA","Off Snipe Point, Florida Keys, Florida, Monroe County","N",-81.6739784,24.6981975
"238","27-May-2013",2013,"USA","Halewia, Oahu","N",-158.1034112,21.5927614
"239","27-May-2013",2013,"USA","Ormond Beach, Volusia County","N",-81.0558894,29.2858129
"240","08-May-2013",2013,"USA","Tourmaline Surf Park, San Diego County","Y",-117.2616612,32.8054224
"241","04-May-2013",2013,"USA","Melbourne Beach, Brevard County","N",-80.5603303,28.0683496
"242","17-Apr-2013",2013,"USA","Near Boynton Beach, Palm Beach County","N",-80.0905465,26.5317866
"243","13-Apr-2013",2013,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"244","04-Apr-2013",2013,"USA","Jensen Beach, Martin County ","N",-80.2297697,27.2544906
"245","02-Apr-2013",2013,"USA","Ka’anapali Shores","N",18.49041,-22.95764
"246","21-Feb-2013",2013,"USA","Ka'anapali, Honokowai, Maui","N",-156.691107,20.934012
"247","21-Feb-2013",2013,"USA","Paia Bay, Maui","N",-156.3836273,20.9173855
"248","10-Feb-2013",2013,"USA","""""Stuart Rocks"""", Martin County","N",-80.2237488,27.195541
"249","16-Jan-2013",2013,"USA","Kiholo Bay","N",-155.9233432,19.8547732
"250","31-Dec-2012",2012,"USA","Jensen Beach, Martin County ","N",-80.2297697,27.2544906
"251","05-Dec-2012",2012,"USA","Kauai","N",-159.5261238,22.0964396
"252","30-Nov-2012",2012,"USA","Kihei, Maui","N",-156.4450063,20.7644275
"253","19-Nov-2012",2012,"USA","Melbourne Beach, Brevard County","N",-80.5603303,28.0683496
"254","04-Nov-2012",2012,"USA","Makena Landing, Maui","N",-156.4411932,20.6540154
"255","04-Nov-2012",2012,"USA","Davidson's Surf Break, Kekaha, Kaua'i","N",-159.7304201,21.9716899
"256","30-Oct-2012",2012,"USA","Humboldt Bay, Eureka, Humboldt County","N",-124.242601,40.7195153
"257","27-Oct-2012",2012,"USA","Makena Landing, Maui","N",-156.4411932,20.6540154
"258","23-Oct-2012",2012,"USA","Surf Beach, Lompoc, Santa Barbara County","Y",-120.6049955,34.6829861
"259","19-Oct-2012",2012,"USA","Seaport, Brevard County","N",-80.613234,28.418201
"260","18-Oct-2012",2012,"USA","Ponce Inlet, Volusia County","N",-80.9369983,29.0963729
"261","18-Oct-2012",2012,"USA","Kanaha Beach, Maui","N",-156.4405938,20.8996987
"262","16-Oct-2012",2012,"USA","Hobe Sound","N",-80.1364323,27.059498
"263","10-Oct-2012",2012,"USA","Davenport Landing, Santa Cruz County","N",-122.2158654,37.0258837
"264","25-Sep-2012",2012,"USA","Melbourne Beach, Brevard County","N",-80.5603303,28.0683496
"265","24-Sep-2012",2012,"USA","Spanish House Beach, Brevard County","N",-80.7260209,28.3542063
"266","16-Sep-2012",2012,"USA"," Cocoa Beach, Brevard  County","N",-80.6075513,28.3200067
"267","09-Sep-2012",2012,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"268","08-Sep-2012",2012,"USA","Lori Wilson Park, Cocoa Beach, Brevard  County","N",-80.6094697,28.3371371
"269","08-Sep-2012",2012,"USA","South Beach, Miami-Dade County","N",-80.1340772,25.7826123
"270","06-Sep-2012",2012,"USA","Neptune Beach, Duval County","N",-81.3964734,30.311908
"271","06-Sep-2012",2012,"USA","St. Augustine Beach, St. John's County","N",-81.2711546,29.8439828
"272","04-Sep-2012",2012,"USA","Melbourne Beach, Brevard County","N",-80.5603303,28.0683496
"273","02-Sep-2012",2012,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"274","02-Sep-2012",2012,"USA","Spreckelsville, Maui","N",-156.4051911,20.9107182
"275","02-Sep-2012",2012,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"276","15-Aug-2012",2012,"USA","Gulf Shores, Baldwin County","N",-87.7008193,30.2460361
"277","08-Aug-2012",2012,"USA","Key Largo","N",-80.4472802,25.0865151
"278","31-Jul-2012",2012,"USA","Topanga Beach, Los Angeles County","N",-118.6021321,34.0919452
"279","30-Jul-2012",2012,"USA","Maha‘ulepu Beach, Kauai","N",18.49041,-22.95764
"280","30-Jul-2012",2012,"USA","Ballston Beach, Truro, Cape Cod","N",-70.0200319,42.0000381
"281","24-Jul-2012",2012,"USA","Ocean Isle, Brunswick County","N",-78.426672,33.8943393
"282","08-Jul-2012",2012,"USA","North Topsail Beach, Onslow County","N",-77.43163,34.4901665
"283","07-Jul-2012",2012,"USA","Pleasure Point, Santa Cruz County","N",-121.9688491,36.9577286
"284","26-Jun-2012",2012,"USA","Juno Beach, Palm Beach County","N",-80.0533743,26.8797819
"285","26-Jun-2012",2012,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"286","26-Jun-2012",2012,"USA","Kahana Beach, Maui","N",-156.6801284,20.9692582
